site,source,isbn,title,authors
labirint,https://www.labirint.ru/books/68805/,978-5-9949-0236-3,Форма и цвет. Математика с линейками-трафаретами для детей 4-7 лет. ФГОС ДО: Елена Колесникова,Колесникова Елена Владимировна
igra_slov,https://igraslov.store/product/remark-e-m-teni-v-rayu-ast-eksklass-myagk/,978-5-17-095171-0,Ремарк Э.М. Тени в раю,Эрих Мария Ремарк
eksmo,https://eksmo.ru/book/ten-drakona-ITD89380/,978-5-699-49075-2,Тень дракона,"Волынская И., Кащеев К."
labirint,https://www.labirint.ru/books/68829/,978-5-88503-314-5,Соль: мифы и реальность: Иван Неумывакин,Неумывакин Иван Павлович
eksmo,https://eksmo.ru/book/100-uzorov-dlya-vyazaniya-kryuchkom-ITD89382/,978-5-699-50820-4,100 узоров для вязания крючком,
eksmo,https://eksmo.ru/book/teplye-veshchi-dlya-kholodnoy-zimy-originalnye-vyazanye-modeli-ITD89385/,978-5-699-45651-2,Теплые вещи для холодной зимы. Оригинальные вязаные модели,Ингалилль Юханссон
igra_slov,https://igraslov.store/product/stivenson-r-l-strannaya-istoriya-doktora-dzhekila-i-mistera-hajda-ast-eksklass-myagk/,978-5-17-099714-5,Стивенсон Р. Л. Странная история доктора Джекила и мистера Хайда,Роберт Льюис Стивенсон
eksmo,https://eksmo.ru/book/evreyskaya-mudrost-dlya-uspeshnogo-biznesa-uroki-tory-i-drugikh-svyashchennykh-tekstov-ITD89391/,978-5-699-53895-9,Еврейская мудрость для успешного бизнеса. Уроки Торы и других священных текстов,Бракман Л.; Джаффе С.
labirint,https://www.labirint.ru/books/68876/,978-5-09-094456-4,Магия в любви: Нина Фомина,Фомина Нина
eksmo,https://eksmo.ru/book/smeshnoy-kloun-ITD89386/,978-5-699-51634-6,Смешной клоун,Снежинкина Д.
igra_slov,https://igraslov.store/product/piazhe-zh-rech-i-myshlenie-rebenka-ast-eksklass-myagk/,978-5-17-146922-1,Пиаже Ж. Речь и мышление ребенка,Жан Пиаже
labirint,https://www.labirint.ru/books/68960/,978-5-6044462-2-5,Белоснежка и серебряный ежик: Софья Прокофьева,Прокофьева Софья Леонидовна
eksmo,https://eksmo.ru/book/vedma-pachkulya-i-sumasshedshie-kanikuly-ITD89389/,978-5-699-50203-5,Ведьма Пачкуля и сумасшедшие каникулы,Кай У.
eksmo,https://eksmo.ru/book/lis-uliss-i-svirel-vremeni-ITD89393/,978-5-699-49792-8,Лис Улисс и свирель времени,Фред А.
eksmo,https://eksmo.ru/book/drakonchik-pykhalka-priklyucheniya-nachinayutsya-ITD130131/,978-5-699-51067-2,Дракончик Пыхалка. Приключения начинаются,Емец Д.А.
igra_slov,https://igraslov.store/product/de-sad-m-filosofiya-v-buduare-ili-beznravstvennye-nastavniki-ast-eksklass-myagk/,978-5-17-168042-8,"де Сад М. Философия в будуаре, или Безнравственные наставники",Маркиз де Сад
eksmo,https://eksmo.ru/book/egoist-ITD130480/,978-5-699-51019-1,Эгоист,Мередит Дж.
igra_slov,https://igraslov.store/product/isiguro-k-klara-i-solntse-eksmo-magistral-klap/,978-5-04-173219-6,Исигуро К. Клара и Солнце,Кадзуо Исигуро
eksmo,https://eksmo.ru/book/skrapbuking-sozdaem-semeynyy-fotoalbom-kniga-i-materialy-v-futlyare-rukodelie-v-korobke-ITD130490/,978-5-699-45628-4,Скрапбукинг. Создаем семейный фотоальбом (книга и материалы в футляре) (Рукоделие в коробке),Лаптева Т.Е.
labirint,https://www.labirint.ru/books/69101/,5-9524-1550-4,Женщина без прошлого: Светлана Успенская,Успенская Светлана
